Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
100-199 E CROSSTIMBERS,H,3B50,3,North Division,Robbery,Convenience Store,NORTHSIDE/NORTHLINE,45,1478453220000.0,2016-11-06 11:27:00,Sunday,November,11:27:00,29.831045,-95.31302099999999,"228,390"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1477240920000.0,2016-10-23 11:42:00,Sunday,October,11:42:00,29.785256,-95.37006600000001,"228,390"
5000-5099 WYLIE,B,7C20,7,Northeast Division,Aggravated Assault,Residence or House,GREATER FIFTH WARD,55,1478103780000.0,2016-11-02 11:23:00,Wednesday,November,11:23:00,29.788494,-95.319324,"250,444"
100-199 W WHITNEY,H,3B40,3,North Division,Auto Theft,Residence or House,INDEPENDENCE HEIGHTS,13,1477123620000.0,2016-10-22 03:07:00,Saturday,October,03:07:00,29.830496000000004,-95.40124300000001,"228,390"
2700-2799 N SHEPHERD,C,2A30,2,Central Division,Theft,Commercial Building,GREATER HEIGHTS,15,1477494000000.0,2016-10-26 10:00:00,Wednesday,October,10:00:00,29.81192,-95.410306,"173,195"
8500-8599 N MAIN,H,3B40,3,North Division,Theft,Department or Discount St,INDEPENDENCE HEIGHTS,13,1478782800000.0,2016-11-10 07:00:00,Thursday,November,07:00:00,29.826445,-95.396738,"228,390"
4400-4499 NORTH FWY NO 300,H,3B50,3,North Division,Burglary,Department or Discount St,NORTHSIDE/NORTHLINE,45,1479258000000.0,2016-11-15 19:00:00,Tuesday,November,19:00:00,28.706601000000003,-96.23165300000001,"228,390"
700-799 CAVALCADE,H,2A10,2,Central Division,Robbery,Convenience Store,NEAR NORTHSIDE,51,1477168740000.0,2016-10-22 15:39:00,Saturday,October,15:39:00,29.803213,-95.361099,"173,195"
500-599 RUSK ,I,1A10,1,Special Operations Division,Aggravated Assault,"Parks and Recreation, Zoo",DOWNTOWN,61,1477725300000.0,2016-10-29 02:15:00,Saturday,October,02:15:00,29.760534000000003,-95.36718499999999,"173,195"
3800-3899 LIBERTY,B,7C20,7,Northeast Division,Theft,Service or Gas Station,GREATER FIFTH WARD,55,1478977200000.0,2016-11-12 13:00:00,Saturday,November,13:00:00,29.784903000000003,-95.331836,"250,444"
600-699 W 19TH,C,2A30,2,Central Division,Theft,Commercial Parking Lot or,GREATER HEIGHTS,15,1479407400000.0,2016-11-17 12:30:00,Thursday,November,12:30:00,29.802781,-95.41011999999999,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1477843140000.0,2016-10-30 10:59:00,Sunday,October,10:59:00,29.785256,-95.37006600000001,"228,390"
700-799 W 8TH,C,2A30,2,Central Division,Theft,Mall Parking Lot,GREATER HEIGHTS,15,1478214000000.0,2016-11-03 18:00:00,Thursday,November,18:00:00,29.785046,-95.405417,"173,195"
7200-7299 JENSEN,H,7C30,7,Northeast Division,Aggravated Assault,Residence or House,EASTEX - JENSEN AREA,46,1477230120000.0,2016-10-23 08:42:00,Sunday,October,08:42:00,29.824907,-95.342584,"250,444"
3800-3899 KING,B,7C20,7,Northeast Division,Aggravated Assault,Residence or House,TRINITY / HOUSTON GARDENS,48,1478337300000.0,2016-11-05 04:15:00,Saturday,November,04:15:00,29.817673,-95.333664,"250,444"
3200-3299 EVELLA,B,7C20,7,Northeast Division,Theft,"Other, Unknown, or Not Li",GREATER FIFTH WARD,55,1478019600000.0,2016-11-01 12:00:00,Tuesday,November,12:00:00,29.791774,-95.33618299999999,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Auto Theft,Strip Business Center Par,NORTHSIDE/NORTHLINE,45,1477231200000.0,2016-10-23 09:00:00,Sunday,October,09:00:00,29.785256,-95.37006600000001,"228,390"
500-599 LAMAR,I,1A10,1,Special Operations Division,Aggravated Assault,"Libraries, Museums",DOWNTOWN,61,1478031720000.0,2016-11-01 15:22:00,Tuesday,November,15:22:00,29.758278999999998,-95.36896800000001,"173,195"
3400-3499 LIBERTY,B,7C20,7,Northeast Division,Theft,Convenience Store Parking,GREATER FIFTH WARD,55,1477948500000.0,2016-10-31 16:15:00,Monday,October,16:15:00,29.78485,-95.335048,"250,444"
1800-1899 WASHINGTON,H,2A40,2,Central Division,Theft,Bar or Night Club Parking,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478642400000.0,2016-11-08 16:00:00,Tuesday,November,16:00:00,29.899915000000004,-95.455483,"173,195"
2300-2399 TERRY,H,2A10,2,Central Division,Auto Theft,Commercial Parking Lot or,NEAR NORTHSIDE,51,1478044860000.0,2016-11-01 19:01:00,Tuesday,November,19:01:00,29.783353,-95.353048,"173,195"
2400-2499 STEVENS,B,7C20,7,Northeast Division,Robbery,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1478109600000.0,2016-11-02 13:00:00,Wednesday,November,13:00:00,29.784409000000004,-95.344004,"250,444"
600-699 E 20TH,C,2A30,2,Central Division,Robbery,Restaurant or Cafeteria,GREATER HEIGHTS,15,1478037600000.0,2016-11-01 17:00:00,Tuesday,November,17:00:00,29.804077000000003,-95.391064,"173,195"
500-599 E 37TH,H,3B40,3,North Division,Auto Theft,"Road, Street, or Sidewalk",INDEPENDENCE HEIGHTS,13,1478363400000.0,2016-11-05 11:30:00,Saturday,November,11:30:00,29.819744,-95.392482,"228,390"
700-799 NICHOLSON,C,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1477647780000.0,2016-10-28 04:43:00,Friday,October,04:43:00,29.828608000000003,-95.40529000000001,"173,195"
1200-1299 FARWOOD,H,2A10,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1477348200000.0,2016-10-24 17:30:00,Monday,October,17:30:00,29.787190999999996,-95.36995300000001,"173,195"
800-899 17TH ,C,2A60,2,Central Division,Theft,Construction Site,GREATER HEIGHTS,15,1478026800000.0,2016-11-01 14:00:00,Tuesday,November,14:00:00,29.800775,-95.413927,"173,195"
800-899 RICHEY,H,1A10,1,Special Operations Division,Theft,Strip Business Center Par,DOWNTOWN,61,1477855800000.0,2016-10-30 14:30:00,Sunday,October,14:30:00,29.768186,-95.354241,"173,195"
3100-3199 MEMORIAL,H,2A40,2,Central Division,Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1479403800000.0,2016-11-17 11:30:00,Thursday,November,11:30:00,29.763206,-95.392298,"173,195"
600-699 BERRY,H,3B50,3,North Division,Theft,Apartment Parking Lot,NORTHSIDE/NORTHLINE,45,1478215800000.0,2016-11-03 18:30:00,Thursday,November,18:30:00,29.740585999999997,-95.381617,"228,390"
500-599 MAIN STREET,I,1A10,1,Special Operations Division,Theft,Restaurant or Cafeteria,DOWNTOWN,61,1477332240000.0,2016-10-24 13:04:00,Monday,October,13:04:00,29.62687,-95.633716,"173,195"
1600-1699 MEMORIAL DR OB,H,2A40,2,Central Division,Theft,Bank or Savings Instituti,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1477919520000.0,2016-10-31 08:12:00,Monday,October,08:12:00,29.763823,-95.374628,"173,195"
2900-2999 JEWEL,B,7C20,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1478909400000.0,2016-11-11 18:10:00,Friday,November,18:10:00,29.789894,-95.340375,"250,444"
100-199 YALE ,C,2A50,2,Central Division,Theft,Grocery Store or Supermar,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478362680000.0,2016-11-05 11:18:00,Saturday,November,11:18:00,29.775541999999998,-95.398679,"173,195"
200-299 MAIN ST OB,I,1A10,1,Special Operations Division,Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1478975400000.0,2016-11-12 12:30:00,Saturday,November,12:30:00,29.624354999999998,-95.633762,"173,195"
2900-2999 CAVALCADE,B,7C20,7,Northeast Division,Aggravated Assault,Freeway Service Road,KASHMERE GARDENS,52,1478857200000.0,2016-11-11 03:40:00,Friday,November,03:40:00,29.801140999999998,-95.338622,"250,444"
800-899 JERRY,H,3B40,3,North Division,Aggravated Assault,Residence or House,INDEPENDENCE HEIGHTS,13,1477252800000.0,2016-10-23 15:00:00,Sunday,October,15:00:00,29.827405,-95.389082,"228,390"
600-699 SAWYER,H,2A40,2,Central Division,Theft,Commercial Parking Lot or,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478241000000.0,2016-11-04 01:30:00,Friday,November,01:30:00,29.765539,-95.38135,"173,195"
2000-2099 FLETCHER,H,2A10,2,Central Division,Burglary,Apartment,NEAR NORTHSIDE,51,1477131300000.0,2016-10-22 05:15:00,Saturday,October,05:15:00,29.777755,-95.364609,"173,195"
3500-3599 COLLINGSWORTH,B,7C20,7,Northeast Division,Aggravated Assault,Residence or House,GREATER FIFTH WARD,55,1478171700000.0,2016-11-03 06:15:00,Thursday,November,06:15:00,29.794041999999997,-95.334299,"250,444"
1300-1399 BAYOU,B,7C10,7,Northeast Division,Aggravated Assault,Residence or House,GREATER FIFTH WARD,55,1477969320000.0,2016-10-31 22:02:00,Monday,October,22:02:00,29.773353000000004,-95.337659,"250,444"
1100-1199 STUDEWOOD,H,2A30,2,Central Division,Theft,Other Parking Lot,GREATER HEIGHTS,15,1478298600000.0,2016-11-04 17:30:00,Friday,November,17:30:00,29.799120000000002,-95.387976,"173,195"
2500-2599 CHURCHILL,H,2A10,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1478606400000.0,2016-11-08 06:00:00,Tuesday,November,06:00:00,29.78286,-95.366374,"173,195"
5300-5399 CHAPMAN,H,2A10,2,Central Division,Auto Theft,Driveway,NEAR NORTHSIDE,51,1478348040000.0,2016-11-05 07:14:00,Saturday,November,07:14:00,29.808514000000002,-95.354526,"173,195"
700-799 PIZER,H,2A30,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1479457620000.0,2016-11-18 02:27:00,Friday,November,02:27:00,29.79366,-95.380997,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1478971500000.0,2016-11-12 11:25:00,Saturday,November,11:25:00,29.785256,-95.37006600000001,"228,390"
4700-4799 AIRLINE,H,3B50,3,North Division,Burglary,Miscellaneous Business (N,NORTHSIDE/NORTHLINE,45,1477468440000.0,2016-10-26 02:54:00,Wednesday,October,02:54:00,29.834598,-95.384408,"228,390"
100-199 GARROTSVILLE,H,3B50,3,North Division,Aggravated Assault,Residence or House,NORTHSIDE/NORTHLINE,45,1478143800000.0,2016-11-02 22:30:00,Wednesday,November,22:30:00,29.831234000000002,-95.374065,"228,390"
000-099 RIESNER,H,2A40,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1479063600000.0,2016-11-13 13:00:00,Sunday,November,13:00:00,29.767063,-95.371134,"173,195"
600-699 KELLEY,H,2A20,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1479051780000.0,2016-11-13 09:43:00,Sunday,November,09:43:00,29.813213,-95.363017,"173,195"
7700-7799 FULTON ST IB,H,3B50,3,North Division,Theft,"Other, Unknown, or Not Li",NORTHSIDE/NORTHLINE,45,1477402920000.0,2016-10-25 08:42:00,Tuesday,October,08:42:00,29.831574,-95.376076,"228,390"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Commercial Building,NORTHSIDE/NORTHLINE,45,1479034440000.0,2016-11-13 04:54:00,Sunday,November,04:54:00,29.785256,-95.37006600000001,"228,390"
1800-1899 ASHLAND,C,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1479225600000.0,2016-11-15 10:00:00,Tuesday,November,10:00:00,29.802884000000002,-95.403615,"173,195"
4700-4799 AIRLINE,H,3B50,3,North Division,Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1477239000000.0,2016-10-23 11:10:00,Sunday,October,11:10:00,29.834598,-95.384408,"228,390"
1000-1099 AURORA,H,2A20,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1477225800000.0,2016-10-23 07:30:00,Sunday,October,07:30:00,29.809884000000004,-95.384938,"173,195"
1100-1199 COLUMBIA,C,2A30,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1477613100000.0,2016-10-27 19:05:00,Thursday,October,19:05:00,29.792607,-95.39313299999999,"173,195"
1400-1499 DART,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1477519200000.0,2016-10-26 17:00:00,Wednesday,October,17:00:00,29.770052000000003,-95.372341,"173,195"
1300-1399 YALE,C,2A30,2,Central Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1479302100000.0,2016-11-16 07:15:00,Wednesday,November,07:15:00,29.796212,-95.399075,"173,195"
3300-3399 CAMPBELL,B,7C20,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1479288000000.0,2016-11-16 03:20:00,Wednesday,November,03:20:00,29.824797999999998,-95.526309,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Auto Theft,Strip Business Center Par,NORTHSIDE/NORTHLINE,45,1479307800000.0,2016-11-16 08:50:00,Wednesday,November,08:50:00,29.785256,-95.37006600000001,"228,390"
700-799 RIDGE,H,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1478379600000.0,2016-11-05 16:00:00,Saturday,November,16:00:00,29.782925,-95.38071500000001,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Restaurant or Cafeteria P,NORTHSIDE/NORTHLINE,45,1478952000000.0,2016-11-12 06:00:00,Saturday,November,06:00:00,29.785256,-95.37006600000001,"228,390"
3300-3399 HARDIE,B,7C20,7,Northeast Division,Theft,Residence or House,KASHMERE GARDENS,52,1479022200000.0,2016-11-13 01:30:00,Sunday,November,01:30:00,29.805097999999997,-95.335174,"250,444"
000-099 WAUGHFORD,H,2A50,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478545200000.0,2016-11-07 13:00:00,Monday,November,13:00:00,29.768659000000003,-95.398169,"173,195"
4000-4099 FULTON ST OB,H,2A10,2,Central Division,Theft,Light Rail (Metro Rail) V,NEAR NORTHSIDE,51,1479459000000.0,2016-11-18 02:50:00,Friday,November,02:50:00,29.796951,-95.36778000000001,"173,195"
1900-1999 N SHEPHERD,C,2A30,2,Central Division,Theft,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1479322800000.0,2016-11-16 13:00:00,Wednesday,November,13:00:00,29.80381,-95.41014799999999,"173,195"
1100-1199 STUDEWOOD,H,2A30,2,Central Division,Auto Theft,Commercial Parking Lot or,GREATER HEIGHTS,15,1478388600000.0,2016-11-05 18:30:00,Saturday,November,18:30:00,29.799120000000002,-95.387976,"173,195"
1700-1799 ALAMO,H,2A40,2,Central Division,Burglary,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1477422000000.0,2016-10-25 14:00:00,Tuesday,October,14:00:00,29.776595,-95.37593100000001,"173,195"
400-499 ARLINGTON,C,2A30,2,Central Division,Burglary,Garage or Carport,GREATER HEIGHTS,15,1478552400000.0,2016-11-07 15:00:00,Monday,November,15:00:00,29.779681,-95.39398,"173,195"
4500-4599 WERNER,H,3B40,3,North Division,Aggravated Assault,Residence or House,INDEPENDENCE HEIGHTS,13,1479059760000.0,2016-11-13 11:56:00,Sunday,November,11:56:00,29.832759000000003,-95.39692600000001,"228,390"
000-099 BURRESS,H,3B50,3,North Division,Theft,Apartment,NORTHSIDE/NORTHLINE,45,1478847600000.0,2016-11-11 01:00:00,Friday,November,01:00:00,29.84187,-95.376038,"228,390"
1100-1199 W COTTAGE,H,2A30,2,Central Division,Auto Theft,Residence or House,GREATER HEIGHTS,15,1478037600000.0,2016-11-01 17:00:00,Tuesday,November,17:00:00,29.792194,-95.374831,"173,195"
1800-1899 WASHINGTON,H,2A40,2,Central Division,Theft,Bar or Night Club Parking,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478642400000.0,2016-11-08 16:00:00,Tuesday,November,16:00:00,29.899915000000004,-95.455483,"173,195"
900-999 COLUMBIA,C,2A30,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1477908540000.0,2016-10-31 05:09:00,Monday,October,05:09:00,29.788921000000002,-95.393059,"173,195"
5400-5499 CAVALCADE,B,7C20,7,Northeast Division,Theft,"Other, Unknown, or Not Li",KASHMERE GARDENS,52,1477836000000.0,2016-10-30 09:00:00,Sunday,October,09:00:00,29.800351000000003,-95.315252,"250,444"
800-899 WALKER,I,1A10,1,Special Operations Division,Theft,Commercial Parking Lot or,DOWNTOWN,61,1479604560000.0,2016-11-19 19:16:00,Saturday,November,19:16:00,29.927746999999997,-95.518753,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Department or Discount St,NORTHSIDE/NORTHLINE,45,1479653700000.0,2016-11-20 08:55:00,Sunday,November,08:55:00,29.785256,-95.37006600000001,"228,390"
4000-4099 MICHAUX,H,2A30,2,Central Division,Auto Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1479081660000.0,2016-11-13 18:01:00,Sunday,November,18:01:00,29.794341999999997,-95.384321,"173,195"
4400-4499 HERSHE,B,7C10,7,Northeast Division,Auto Theft,Residence or House,GREATER FIFTH WARD,55,1477875480000.0,2016-10-30 19:58:00,Sunday,October,19:58:00,29.777655,-95.32483,"250,444"
1700-1799 N IH 45 ,H,2A10,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1477719300000.0,2016-10-29 00:35:00,Saturday,October,00:35:00,29.789996999999996,-95.371892,"173,195"
800-899 CONGRESS,I,1A10,1,Special Operations Division,Theft,Restaurant or Cafeteria,DOWNTOWN,61,1478544300000.0,2016-11-07 12:45:00,Monday,November,12:45:00,29.762781,-95.361604,"173,195"
800-899 ASHLAND,C,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1478808000000.0,2016-11-10 14:00:00,Thursday,November,14:00:00,29.786918,-95.40330300000001,"173,195"
2500-2599 GREGG,B,7C20,7,Northeast Division,Theft,"Hotel, Motel, Inn, Etc.",GREATER FIFTH WARD,55,1479171600000.0,2016-11-14 19:00:00,Monday,November,19:00:00,29.785891999999997,-95.335854,"250,444"
6000-6099 GOLD,H,7C20,7,Northeast Division,Burglary,Miscellaneous Business (N,EASTEX - JENSEN AREA,46,1478915100000.0,2016-11-11 19:45:00,Friday,November,19:45:00,29.814736,-95.349522,"250,444"
1000-1099 BOUNDARY ST IB,H,2A10,2,Central Division,Aggravated Assault,Residence or House,NEAR NORTHSIDE,51,1477923960000.0,2016-10-31 09:26:00,Monday,October,09:26:00,29.784543,-95.360959,"173,195"
3400-3499 CENTER,C,2A50,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478782380000.0,2016-11-10 06:53:00,Thursday,November,06:53:00,29.770149,-95.394891,"173,195"
1700-1799 WEBER,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478620800000.0,2016-11-08 10:00:00,Tuesday,November,10:00:00,29.777288000000002,-95.37593000000001,"173,195"
1100-1199 EUCLID,H,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1479063600000.0,2016-11-13 13:00:00,Sunday,November,13:00:00,29.785209000000002,-95.38774000000001,"173,195"
1100-1199 CAPITOL,I,1A10,1,Special Operations Division,Burglary,Video Rental & Sales,DOWNTOWN,61,1477418400000.0,2016-10-25 13:00:00,Tuesday,October,13:00:00,29.742278000000002,-95.329101,"173,195"
000-099 DE BOLL,H,3B50,3,North Division,Aggravated Assault,Driveway,NORTHSIDE/NORTHLINE,45,1478061540000.0,2016-11-01 23:39:00,Tuesday,November,23:39:00,29.842602000000003,-95.37637600000001,"228,390"
000-099 NORTH ,H,6B40,6,Central Division,Robbery,Apartment Parking Lot,DOWNTOWN,61,1479508200000.0,2016-11-18 16:30:00,Friday,November,16:30:00,29.785156,-95.370599,"228,390"
700-799 GLENBURNIE,H,3B40,3,North Division,Robbery,Convenience Store,INDEPENDENCE HEIGHTS,13,1478208660000.0,2016-11-03 16:31:00,Thursday,November,16:31:00,29.838594,-95.388626,"228,390"
000-099 COLLINGSWORTH ST/EASTEX FWY IB,B,7C20,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1478986740000.0,2016-11-12 15:39:00,Saturday,November,15:39:00,29.769965999999997,-95.339517,"250,444"
4000-4099 LOCKWOOD,B,7C20,7,Northeast Division,Robbery,Service or Gas Station,KASHMERE GARDENS,52,1479699000000.0,2016-11-20 21:30:00,Sunday,November,21:30:00,29.797833,-95.317001,"250,444"
4400-4499 NORTH ,H,3B50,3,North Division,Murder,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1477780380000.0,2016-10-29 17:33:00,Saturday,October,17:33:00,29.785256,-95.37006600000001,"228,390"
7000-7099 FINN,H,3B50,3,North Division,Burglary,Residence or House,NORTHSIDE/NORTHLINE,45,1477164600000.0,2016-10-22 14:30:00,Saturday,October,14:30:00,29.828062,-95.40740100000001,"228,390"
100-199 MEADOW LEA,H,3B50,3,North Division,Auto Theft,Residence or House,NORTHSIDE/NORTHLINE,45,1478433600000.0,2016-11-06 06:00:00,Sunday,November,06:00:00,29.835921999999997,-95.37352,"228,390"
7600-7699 CURRY,H,7C30,7,Northeast Division,Aggravated Assault,Apartment,EASTEX - JENSEN AREA,46,1478642640000.0,2016-11-08 16:04:00,Tuesday,November,16:04:00,29.829193,-95.33771800000001,"250,444"
200-299 N LOOP W,H,3B30,3,North Division,Theft,Service or Gas Station,CENTRAL NORTHWEST,12,1478031360000.0,2016-11-01 15:16:00,Tuesday,November,15:16:00,29.808553000000003,-95.325755,"228,390"
6800-6899 APPLETON,H,3B50,3,North Division,Aggravated Assault,"Road, Street, or Sidewalk",NORTHSIDE/NORTHLINE,45,1478388720000.0,2016-11-05 18:32:00,Saturday,November,18:32:00,29.821486,-95.36807900000001,"228,390"
900-999 FRANKLIN,I,1A10,1,Special Operations Division,Theft,Restaurant or Cafeteria,DOWNTOWN,61,1478211000000.0,2016-11-03 17:10:00,Thursday,November,17:10:00,29.762997,-95.36014899999999,"173,195"
3100-3199 BAY ,B,7C20,7,Northeast Division,Robbery,Residence or House,KASHMERE GARDENS,52,1479714000000.0,2016-11-21 01:40:00,Monday,November,01:40:00,29.800388,-95.337783,"250,444"
5700-5799 LAVENDER,B,7C20,7,Northeast Division,Theft,Apartment,KASHMERE GARDENS,52,1478916000000.0,2016-11-11 20:00:00,Friday,November,20:00:00,29.812554,-95.32081600000001,"250,444"
400-499 W 12TH,C,2A30,2,Central Division,Theft,Residence or House,GREATER HEIGHTS,15,1478098140000.0,2016-11-02 09:49:00,Wednesday,November,09:49:00,29.792467,-95.402309,"173,195"
4100-4199 DORCHESTER,B,8C10,8,Northeast Division,Burglary,"Vacant Storage Fac (Barn,",TRINITY / HOUSTON GARDENS,48,1478032200000.0,2016-11-01 15:30:00,Tuesday,November,15:30:00,29.823107,-95.32879799999999,"250,444"
4400-4499 LYONS,B,7C10,7,Northeast Division,Aggravated Assault,"Road, Street, or Sidewalk",GREATER FIFTH WARD,55,1477991520000.0,2016-11-01 04:12:00,Tuesday,November,04:12:00,29.776221000000003,-95.32480100000001,"250,444"
000-099 LOOP  W/SHEPHERD DR,C,2A30,2,Central Division,Auto Theft,Department or Discount St,GREATER HEIGHTS,15,1479555180000.0,2016-11-19 05:33:00,Saturday,November,05:33:00,29.765331,-95.40948,"173,195"
4400-4499 NORTH ,H,3B50,3,North Division,Theft,Grocery Store or Supermar,NORTHSIDE/NORTHLINE,45,1478422800000.0,2016-11-06 03:00:00,Sunday,November,03:00:00,29.785256,-95.37006600000001,"228,390"
3000-3099 KENTUCKY,B,7C20,7,Northeast Division,Theft,Driveway,GREATER FIFTH WARD,55,1478107800000.0,2016-11-02 12:30:00,Wednesday,November,12:30:00,29.786503999999997,-95.338385,"250,444"
1900-1999 KING,H,7C20,7,Northeast Division,Theft,Residence or House,EASTEX - JENSEN AREA,46,1478246400000.0,2016-11-04 03:00:00,Friday,November,03:00:00,29.817903,-95.349275,"250,444"
1100-1199 ELDER,H,2A40,2,Central Division,Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478260620000.0,2016-11-04 06:57:00,Friday,November,06:57:00,29.768925,-95.367552,"173,195"
2400-2499 WASHINGTON,H,2A40,2,Central Division,Theft,Other Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478264400000.0,2016-11-04 08:00:00,Friday,November,08:00:00,29.899915000000004,-95.455483,"173,195"
3400-3499 IRVINGTON,H,2A10,2,Central Division,Theft,Residence or House,NEAR NORTHSIDE,51,1478349060000.0,2016-11-05 07:31:00,Saturday,November,07:31:00,29.789751000000003,-95.361407,"173,195"
800-899 VICTORIA,H,3B40,3,North Division,Theft,Apartment Parking Lot,INDEPENDENCE HEIGHTS,13,1478026800000.0,2016-11-01 14:00:00,Tuesday,November,14:00:00,29.833879,-95.387035,"228,390"
500-599 YORKSHIRE,H,3B50,3,North Division,Theft,Apartment Parking Lot,NORTHSIDE/NORTHLINE,45,1478383200000.0,2016-11-05 17:00:00,Saturday,November,17:00:00,29.827619,-95.36570400000001,"228,390"
2100-2199 N MAIN ST IB,H,2A10,2,Central Division,Theft,"Other, Unknown, or Not Li",NEAR NORTHSIDE,51,1479666600000.0,2016-11-20 12:30:00,Sunday,November,12:30:00,29.779595,-95.363283,"173,195"
1100-1199 BAGBY,I,1A10,1,Special Operations Division,Theft,"Other, Unknown, or Not Li",DOWNTOWN,61,1477440060000.0,2016-10-25 19:01:00,Tuesday,October,19:01:00,29.758574,-95.371269,"173,195"
4700-4799 AIRLINE,H,3B50,3,North Division,Robbery,Bank,NORTHSIDE/NORTHLINE,45,1477323660000.0,2016-10-24 10:41:00,Monday,October,10:41:00,29.834598,-95.384408,"228,390"
600-699 TRAVIS,I,1A10,1,Special Operations Division,Theft,Commercial Parking Lot or,DOWNTOWN,61,1477574880000.0,2016-10-27 08:28:00,Thursday,October,08:28:00,29.759725,-95.364021,"173,195"
800-899 24TH ,H,2A60,2,Central Division,Theft,Driveway,GREATER HEIGHTS,15,1478631600000.0,2016-11-08 13:00:00,Tuesday,November,13:00:00,29.808194,-95.38710999999999,"173,195"
1900-1999 N MAIN ST IB,H,2A10,2,Central Division,Burglary,Miscellaneous Business (N,NEAR NORTHSIDE,51,1478911860000.0,2016-11-11 18:51:00,Friday,November,18:51:00,29.777268,-95.362175,"173,195"
100-199 HEIGHTS,C,2A50,2,Central Division,Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478025000000.0,2016-11-01 13:30:00,Tuesday,November,13:30:00,29.774051,-95.397435,"173,195"
600-699 MEMORIAL HEIGHTS,H,2A40,2,Central Division,Theft,Apartment Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1478041200000.0,2016-11-01 18:00:00,Tuesday,November,18:00:00,29.766499,-95.39101099999999,"173,195"
300-399 BERRY,H,3B50,3,North Division,Auto Theft,Apartment Parking Lot,NORTHSIDE/NORTHLINE,45,1479482160000.0,2016-11-18 09:16:00,Friday,November,09:16:00,29.837654999999998,-95.370243,"228,390"
